accession	n_families	families
CP156697.1	1	CFPICI
CP156750.1	1	CFPICI
CP157287.1	2	CFPICI,PICI
CP157301.1	1	CFPICI
CP157495.1	1	CFPICI
CP157498.1	1	CFPICI
CP157500.1	1	CFPICI
CP159281.1	1	PICI
CP168013.1	1	CFPICI
CP169315.1	1	PICI
CP170710.1	1	CFPICI
CP178226.1	1	PICI
CP184541.1	1	CFPICI
CP184543.1	1	CFPICI
CP184549.1	2	CFPICI,PICI
CP184551.1	2	CFPICI,PICI
CP184555.1	1	CFPICI
CP184557.1	1	CFPICI
CP184559.1	1	CFPICI
CP184561.1	1	CFPICI
CP184563.1	1	CFPICI
CP190357.1	1	CFPICI
CP192213.1	1	CFPICI
CP192214.1	1	CFPICI
CP192215.1	1	CFPICI
FR714927.1	1	CFPICI
JTIY01000001.1	1	CFPICI
LR586016.1	1	PICI
LR593886.1	1	CFPICI
LR593887.1	1	PICI
LR593888.1	1	PICI
Mawb	2	EPIP,PICI
NC_000913.3	1	PICI
NC_002695.2	1	CFPICI
NC_002745.2	1	CFPICI
NC_003028.3	1	PICI
NC_004668.1	2	CFPICI,PICI
NC_009641.1	1	CFPICI
NC_012490.1	1	CFPICI
NZ_AP024237.1	1	PICI
NZ_AP035757.1	1	CFPICI
NZ_AP043788.1	1	PICI
NZ_CM128549.1	2	CFPICI,PICI
NZ_CM128581.1	2	CFPICI,PICI
NZ_CM128582.1	2	CFPICI,PICI
NZ_CM128583.1	1	PICI
NZ_CM128584.1	1	PICI
NZ_CM128585.1	1	PICI
NZ_CM128587.1	1	PICI
NZ_CM128588.1	2	CFPICI,PICI
NZ_CM128589.1	1	CFPICI
NZ_CM128590.1	1	PICI
NZ_CM128591.1	1	PICI
NZ_CM128592.1	2	CFPICI,PICI
NZ_CM128593.1	1	PICI
NZ_CM128594.1	2	CFPICI,PICI
NZ_CM128595.1	1	CFPICI
NZ_CM128596.1	2	CFPICI,PICI
NZ_CM128597.1	1	CFPICI
NZ_CM128598.1	1	CFPICI
NZ_CM128599.1	2	CFPICI,PICI
NZ_CM128600.1	1	CFPICI
NZ_CM128601.1	2	CFPICI,PICI
NZ_CM128602.1	2	CFPICI,PICI
NZ_CM128603.1	2	CFPICI,PICI
NZ_CM128604.1	2	CFPICI,PICI
NZ_CM128605.1	2	CFPICI,PICI
NZ_CM128606.1	2	CFPICI,PICI
NZ_CM129037.1	2	CFPICI,PICI
NZ_CM129038.1	2	CFPICI,PICI
NZ_CM129039.1	1	CFPICI
NZ_CM129040.1	1	CFPICI
NZ_CM129041.1	2	CFPICI,PICI
NZ_CM129042.1	1	PICI
NZ_CM129854.1	1	CFPICI
NZ_CM129919.1	1	PICI
NZ_CM130001.1	1	PICI
NZ_CM132654.1	1	PICI
NZ_CM132655.1	1	PICI
NZ_CM132658.1	1	PICI
NZ_CM132944.1	2	CFPICI,PICI
NZ_CM135133.1	2	CFPICI,PICI
NZ_CM144239.1	1	CFPICI
NZ_CM144240.1	2	CFPICI,PICI
NZ_CM144241.1	2	CFPICI,PICI
NZ_CM144242.1	2	CFPICI,PICI
NZ_CM144243.1	2	CFPICI,PICI
NZ_CM144244.1	1	PICI
NZ_CM144246.1	1	PICI
NZ_CM144247.1	1	CFPICI
NZ_CM144251.1	2	CFPICI,PICI
NZ_CM148319.1	2	CFPICI,PICI
NZ_CM148320.1	1	PICI
NZ_CM148361.1	2	CFPICI,PICI
NZ_CM149554.1	2	CFPICI,PICI
NZ_CM149560.1	2	CFPICI,PICI
NZ_CM149564.1	1	CFPICI
NZ_CM149567.1	2	CFPICI,PICI
NZ_CM149574.1	1	PICI
NZ_CM149575.1	1	CFPICI
NZ_CM149577.1	1	PICI
NZ_CM149601.1	1	PICI
NZ_CM149693.1	1	PICI
NZ_CM149861.1	1	PICI
NZ_CM149867.1	1	PICI
NZ_CM149991.1	1	PICI
NZ_CP022290.1	1	CFPICI
NZ_CP022291.1	1	CFPICI
NZ_CP027352.1	2	CFPICI,PICI
NZ_CP027380.1	2	CFPICI,PICI
NZ_CP027390.1	2	CFPICI,PICI
NZ_CP027442.1	2	CFPICI,PICI
NZ_CP027472.1	2	CFPICI,PICI
NZ_CP027573.1	2	CFPICI,PICI
NZ_CP029242.1	1	PICI
NZ_CP030152.1	1	PICI
NZ_CP042588.1	1	PICI
NZ_CP049852.1	2	CFPICI,PICI
NZ_CP054169.1	1	CFPICI
NZ_CP058897.1	2	CFPICI,PICI
NZ_CP058917.1	1	CFPICI
NZ_CP058922.1	1	CFPICI
NZ_CP059332.1	2	CFPICI,PICI
NZ_CP059339.1	2	CFPICI,PICI
NZ_CP073924.1	1	PICI
NZ_CP073984.1	1	CFPICI
NZ_CP074019.1	2	CFPICI,PICI
NZ_CP074028.1	1	PICI
NZ_CP074042.1	1	PICI
NZ_CP075852.1	2	CFPICI,PICI
NZ_CP076272.1	2	CFPICI,PICI
NZ_CP077649.1	1	PICI
NZ_CP078137.1	2	CFPICI,PICI
NZ_CP079735.1	1	PICI
NZ_CP079736.1	1	PICI
NZ_CP080253.1	1	PICI
NZ_CP082100.1	2	CFPICI,PICI
NZ_CP097198.1	1	PICI
NZ_CP097213.1	2	CFPICI,PICI
NZ_CP098838.1	1	PICI
NZ_CP098841.1	2	CFPICI,PICI
NZ_CP098854.1	1	PICI
NZ_CP098858.1	1	PICI
NZ_CP098870.1	1	CFPICI
NZ_CP098874.1	1	PICI
NZ_CP098886.1	1	PICI
NZ_CP098892.1	1	PICI
NZ_CP098898.1	1	PICI
NZ_CP098910.1	2	CFPICI,PICI
NZ_CP101263.1	1	PICI
NZ_CP101269.1	1	PICI
NZ_CP101274.1	1	CFPICI
NZ_CP101292.1	2	CFPICI,PICI
NZ_CP101305.1	1	CFPICI
NZ_CP101615.1	1	PICI
NZ_CP101705.1	1	PICI
NZ_CP101858.1	1	CFPICI
NZ_CP102061.1	2	CFPICI,PICI
NZ_CP103295.1	1	PICI
NZ_CP115312.1	1	PICI
NZ_CP115351.1	1	PICI
NZ_CP116925.1	1	PICI
NZ_CP116970.1	1	PICI
NZ_CP119577.1	2	CFPICI,PICI
NZ_CP125885.1	2	CFPICI,PICI
NZ_CP125889.1	2	CFPICI,PICI
NZ_CP132061.1	1	PICI
NZ_CP132063.1	1	PICI
NZ_CP132594.1	1	PICI
NZ_CP133657.1	1	PICI
NZ_CP134353.1	1	PICI
NZ_CP134376.1	1	PICI
NZ_CP134380.1	1	PICI
NZ_CP135502.1	2	CFPICI,PICI
NZ_CP137162.1	1	PICI
NZ_CP142677.1	1	PICI
NZ_CP142680.1	1	PICI
NZ_CP145099.1	2	CFPICI,PICI
NZ_CP146019.1	1	PICI
NZ_CP148289.1	1	PICI
NZ_CP148349.1	2	CFPICI,PICI
NZ_CP148357.1	2	CFPICI,PICI
NZ_CP148378.1	2	CFPICI,PICI
NZ_CP148474.1	2	CFPICI,PICI
NZ_CP150075.1	1	CFPICI
NZ_CP151005.1	2	CFPICI,PICI
NZ_CP151030.1	1	CFPICI
NZ_CP151038.1	1	PICI
NZ_CP151042.1	1	PICI
NZ_CP151045.1	2	CFPICI,PICI
NZ_CP151050.1	2	CFPICI,PICI
NZ_CP155528.1	1	CFPICI
NZ_CP155727.1	2	CFPICI,PICI
NZ_CP158429.1	2	CFPICI,PICI
NZ_CP158441.1	1	PICI
NZ_CP161802.1	1	PICI
NZ_CP162163.1	2	CFPICI,PICI
NZ_CP163516.1	1	PICI
NZ_CP168035.1	1	PICI
NZ_CP168981.1	2	CFPICI,PICI
NZ_CP168991.1	2	CFPICI,PICI
NZ_CP169003.1	2	CFPICI,PICI
NZ_CP169008.1	2	CFPICI,PICI
NZ_CP169632.1	1	PICI
NZ_CP169633.1	1	PICI
NZ_CP170328.1	2	CFPICI,PICI
NZ_CP170509.1	1	PICI
NZ_CP171883.1	2	CFPICI,PICI
NZ_CP172108.1	1	CFPICI
NZ_CP189657.1	1	CFPICI
NZ_CP189662.1	2	CFPICI,PICI
NZ_CP196412.1	1	CFPICI
NZ_CP200247.1	1	CFPICI
NZ_JBVVYP010000013.1	1	PICI
NZ_NSFK01000001.1	1	PICI
NZ_OGTW02000028.1	1	PICI
NZ_OGTW02000044.1	1	PICI
NZ_OGTW02000045.1	1	CFPICI
NZ_OGTW02000046.1	1	CFPICI
PV944735.1	1	MFMR
