query_id	accession	family	region	batch	record	query_length	family_supported_bp_core_region	core_region_family_coverage	family_supported_weighted_pident	top_contributing_reference	top_reference_supported_bp	top_reference_query_fraction	top_reference_weighted_pident	n_references_hit	n_hsps_total
NZ_CM128597.1|CFPICI|R2|core|batch=003|record=NZ_CM128597.1_Escherichia_coli_strain_E700025_chromosome__whole_genome_shotgun_sequence|start=2786364|end=2791165|strand=-1	NZ_CM128597.1	CFPICI	R2	003	NZ_CM128597.1_Escherichia_coli_strain_E700025_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.598	BFLF01000001.1_341769_355219	4802	1.0	95.252	10	17
NZ_CM128598.1|CFPICI|R1|core|batch=003|record=NZ_CM128598.1_Escherichia_coli_strain_E600003_chromosome__whole_genome_shotgun_sequence|start=4117290|end=4124255|strand=-1	NZ_CM128598.1	CFPICI	R1	003	NZ_CM128598.1_Escherichia_coli_strain_E600003_chromosome__whole_genome_shotgun_sequence	6966	83	0.0119	95.092	CP000970.1_955625_970780	83	0.0119	95.181	2	2
NZ_CM128598.1|CFPICI|R2|core|batch=003|record=NZ_CM128598.1_Escherichia_coli_strain_E600003_chromosome__whole_genome_shotgun_sequence|start=4855943|end=4860744|strand=1	NZ_CM128598.1	CFPICI	R2	003	NZ_CM128598.1_Escherichia_coli_strain_E600003_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.635	BFLF01000001.1_341769_355219	4802	1.0	94.94	10	17
NZ_CM128599.1|CFPICI|R2|core|batch=003|record=NZ_CM128599.1_Escherichia_coli_strain_E500002_chromosome__whole_genome_shotgun_sequence|start=3150836|end=3155637|strand=-1	NZ_CM128599.1	CFPICI	R2	003	NZ_CM128599.1_Escherichia_coli_strain_E500002_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.635	BFLF01000001.1_341769_355219	4802	1.0	94.94	10	17
NZ_CM128601.1|CFPICI|R2|core|batch=003|record=NZ_CM128601.1_Escherichia_coli_strain_E300010_chromosome__whole_genome_shotgun_sequence|start=1733508|end=1738309|strand=-1	NZ_CM128601.1	CFPICI	R2	003	NZ_CM128601.1_Escherichia_coli_strain_E300010_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.635	BFLF01000001.1_341769_355219	4802	1.0	94.94	10	17
NZ_CM128603.1|CFPICI|R2|core|batch=003|record=NZ_CM128603.1_Escherichia_coli_strain_E203449_chromosome__whole_genome_shotgun_sequence|start=3613933|end=3618734|strand=-1	NZ_CM128603.1	CFPICI	R2	003	NZ_CM128603.1_Escherichia_coli_strain_E203449_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.622	BFLF01000001.1_341769_355219	4802	1.0	95.023	10	17
NZ_CM128603.1|CFPICI|R3|core|batch=003|record=NZ_CM128603.1_Escherichia_coli_strain_E203449_chromosome__whole_genome_shotgun_sequence|start=4913854|end=4918655|strand=1	NZ_CM128603.1	CFPICI	R3	003	NZ_CM128603.1_Escherichia_coli_strain_E203449_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.566	BFLF01000001.1_341769_355219	4802	1.0	94.981	10	17
NZ_CM128604.1|CFPICI|R3|core|batch=003|record=NZ_CM128604.1_Escherichia_coli_strain_E200139_chromosome__whole_genome_shotgun_sequence|start=2537808|end=2542609|strand=-1	NZ_CM128604.1	CFPICI	R3	003	NZ_CM128604.1_Escherichia_coli_strain_E200139_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.57	BFLF01000001.1_341769_355219	4802	1.0	94.981	10	17
NZ_CM128604.1|CFPICI|R4|core|batch=003|record=NZ_CM128604.1_Escherichia_coli_strain_E200139_chromosome__whole_genome_shotgun_sequence|start=4561863|end=4566664|strand=1	NZ_CM128604.1	CFPICI	R4	003	NZ_CM128604.1_Escherichia_coli_strain_E200139_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.592	BFLF01000001.1_341769_355219	4802	1.0	95.002	10	17
NZ_CM128605.1|CFPICI|R3|core|batch=003|record=NZ_CM128605.1_Escherichia_coli_strain_E200086_chromosome__whole_genome_shotgun_sequence|start=3715528|end=3720328|strand=-1	NZ_CM128605.1	CFPICI	R3	003	NZ_CM128605.1_Escherichia_coli_strain_E200086_chromosome__whole_genome_shotgun_sequence	4801	4801	1.0	87.579	BFLF01000001.1_341769_355219	4801	1.0	94.96	10	17
NZ_CM129037.1|CFPICI|R1|core|batch=003|record=NZ_CM129037.1_Escherichia_coli_strain_600055_chromosome__whole_genome_shotgun_sequence|start=109904|end=122562|strand=mixed	NZ_CM129037.1	CFPICI	R1	003	NZ_CM129037.1_Escherichia_coli_strain_600055_chromosome__whole_genome_shotgun_sequence	12659	83	0.0066	93.865	CP000970.1_955625_970780	83	0.0066	93.976	2	2
NZ_CM129038.1|CFPICI|R2|core|batch=003|record=NZ_CM129038.1_Escherichia_coli_strain_700481_chromosome__whole_genome_shotgun_sequence|start=3072485|end=3077286|strand=1	NZ_CM129038.1	CFPICI	R2	003	NZ_CM129038.1_Escherichia_coli_strain_700481_chromosome__whole_genome_shotgun_sequence	4802	4802	1.0	87.635	BFLF01000001.1_341769_355219	4802	1.0	94.94	10	17
NZ_CM129039.1|CFPICI|R1|core|batch=003|record=NZ_CM129039.1_Escherichia_coli_strain_500111_chromosome__whole_genome_shotgun_sequence|start=4801484|end=4808371|strand=-1	NZ_CM129039.1	CFPICI	R1	003	NZ_CM129039.1_Escherichia_coli_strain_500111_chromosome__whole_genome_shotgun_sequence	6888	193	0.028	89.051	CU928164.2_2060161_2074688	110	0.016	80.18	3	3
NZ_CM129041.1|CFPICI|R1|core|batch=003|record=NZ_CM129041.1_Escherichia_coli_strain_500010_chromosome__whole_genome_shotgun_sequence|start=4733955|end=4740842|strand=-1	NZ_CM129041.1	CFPICI	R1	003	NZ_CM129041.1_Escherichia_coli_strain_500010_chromosome__whole_genome_shotgun_sequence	6888	193	0.028	89.051	CU928164.2_2060161_2074688	110	0.016	80.18	3	3
NZ_CM129854.1|CFPICI|R1|core|batch=003|record=NZ_CM129854.1_Escherichia_coli_strain_SW071618_chromosome__whole_genome_shotgun_sequence|start=3851477|end=3858443|strand=-1	NZ_CM129854.1	CFPICI	R1	003	NZ_CM129854.1_Escherichia_coli_strain_SW071618_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CM144239.1|CFPICI|R1|core|batch=003|record=NZ_CM144239.1_Escherichia_coli_strain_KK05-19_chromosome__whole_genome_shotgun_sequence|start=3852210|end=3859175|strand=1	NZ_CM144239.1	CFPICI	R1	003	NZ_CM144239.1_Escherichia_coli_strain_KK05-19_chromosome__whole_genome_shotgun_sequence	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM144240.1|CFPICI|R1|core|batch=003|record=NZ_CM144240.1_Escherichia_coli_strain_DG351-2_chromosome__whole_genome_shotgun_sequence|start=3326721|end=3333687|strand=1	NZ_CM144240.1	CFPICI	R1	003	NZ_CM144240.1_Escherichia_coli_strain_DG351-2_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CM144241.1|CFPICI|R1|core|batch=003|record=NZ_CM144241.1_Escherichia_coli_strain_DG343-1_chromosome__whole_genome_shotgun_sequence|start=1732305|end=1739271|strand=-1	NZ_CM144241.1	CFPICI	R1	003	NZ_CM144241.1_Escherichia_coli_strain_DG343-1_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CM144242.1|CFPICI|R1|core|batch=003|record=NZ_CM144242.1_Escherichia_coli_strain_DG342-2_chromosome__whole_genome_shotgun_sequence|start=4073925|end=4080891|strand=1	NZ_CM144242.1	CFPICI	R1	003	NZ_CM144242.1_Escherichia_coli_strain_DG342-2_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CM144243.1|CFPICI|R1|core|batch=003|record=NZ_CM144243.1_Escherichia_coli_strain_DG341-1_chromosome__whole_genome_shotgun_sequence|start=1877382|end=1884348|strand=-1	NZ_CM144243.1	CFPICI	R1	003	NZ_CM144243.1_Escherichia_coli_strain_DG341-1_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CM144247.1|CFPICI|R1|core|batch=003|record=NZ_CM144247.1_Escherichia_coli_strain_CB6886_chromosome__whole_genome_shotgun_sequence|start=1168035|end=1175000|strand=-1	NZ_CM144247.1	CFPICI	R1	003	NZ_CM144247.1_Escherichia_coli_strain_CB6886_chromosome__whole_genome_shotgun_sequence	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM144251.1|CFPICI|R1|core|batch=003|record=NZ_CM144251.1_Escherichia_coli_strain_LP-26-E1-261_chromosome__whole_genome_shotgun_sequence|start=3969986|end=3976703|strand=1	NZ_CM144251.1	CFPICI	R1	003	NZ_CM144251.1_Escherichia_coli_strain_LP-26-E1-261_chromosome__whole_genome_shotgun_sequence	6718	82	0.0122	88.957	CP000970.1_955625_970780	82	0.0122	89.157	2	2
NZ_CM149554.1|CFPICI|R1|core|batch=003|record=NZ_CM149554.1_Escherichia_coli_strain_MEI148-20EC_chromosome__whole_genome_shotgun_sequence|start=2783890|end=2790856|strand=-1	NZ_CM149554.1	CFPICI	R1	003	NZ_CM149554.1_Escherichia_coli_strain_MEI148-20EC_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM149554.1|CFPICI|R2|core|batch=003|record=NZ_CM149554.1_Escherichia_coli_strain_MEI148-20EC_chromosome__whole_genome_shotgun_sequence|start=4475495|end=4482469|strand=-1	NZ_CM149554.1	CFPICI	R2	003	NZ_CM149554.1_Escherichia_coli_strain_MEI148-20EC_chromosome__whole_genome_shotgun_sequence	6975	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM149564.1|CFPICI|R1|core|batch=003|record=NZ_CM149564.1_Escherichia_coli_strain_MEI4O1-23_chromosome__whole_genome_shotgun_sequence|start=3817879|end=3824845|strand=-1	NZ_CM149564.1	CFPICI	R1	003	NZ_CM149564.1_Escherichia_coli_strain_MEI4O1-23_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM149567.1|CFPICI|R1|core|batch=003|record=NZ_CM149567.1_Escherichia_coli_strain_MEI4B-1023_chromosome__whole_genome_shotgun_sequence|start=3672736|end=3679701|strand=-1	NZ_CM149567.1	CFPICI	R1	003	NZ_CM149567.1_Escherichia_coli_strain_MEI4B-1023_chromosome__whole_genome_shotgun_sequence	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CM149575.1|CFPICI|R1|core|batch=003|record=NZ_CM149575.1_Escherichia_coli_strain_MEI2A-0323_chromosome__whole_genome_shotgun_sequence|start=2909147|end=2916113|strand=-1	NZ_CM149575.1	CFPICI	R1	003	NZ_CM149575.1_Escherichia_coli_strain_MEI2A-0323_chromosome__whole_genome_shotgun_sequence	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP027352.1|CFPICI|R4|core|batch=004|record=NZ_CP027352.1_Escherichia_coli_strain_2012C-4606_chromosome__complete_genome|start=1054064|end=1059207|strand=-1	NZ_CP027352.1	CFPICI	R4	004	NZ_CP027352.1_Escherichia_coli_strain_2012C-4606_chromosome__complete_genome	5144	5144	1.0	97.781	CP028126.1_2294845_2309731	5144	1.0	99.981	10	10
NZ_CP027390.1|CFPICI|R1|core|batch=004|record=NZ_CP027390.1_Escherichia_coli_strain_2015C-4944_chromosome__complete_genome|start=896309|end=901453|strand=1	NZ_CP027390.1	CFPICI	R1	004	NZ_CP027390.1_Escherichia_coli_strain_2015C-4944_chromosome__complete_genome	5145	5145	1.0	97.8	CP028126.1_2294845_2309731	5145	1.0	100.0	10	10
NZ_CP027442.1|CFPICI|R5|core|batch=004|record=NZ_CP027442.1_Escherichia_coli_strain_2013C-3252_chromosome__complete_genome|start=723698|end=728842|strand=-1	NZ_CP027442.1	CFPICI	R5	004	NZ_CP027442.1_Escherichia_coli_strain_2013C-3252_chromosome__complete_genome	5145	5145	1.0	97.793	CP028126.1_2294845_2309731	5145	1.0	99.981	10	10
NZ_CP027472.1|CFPICI|R3|core|batch=004|record=NZ_CP027472.1_Escherichia_coli_strain_2014C-3050_chromosome__complete_genome|start=1853054|end=1858197|strand=-1	NZ_CP027472.1	CFPICI	R3	004	NZ_CP027472.1_Escherichia_coli_strain_2014C-3050_chromosome__complete_genome	5144	5144	1.0	97.633	CP028126.1_2294845_2309731	5144	1.0	97.746	10	10
NZ_CP049852.1|CFPICI|R1|core|batch=004|record=NZ_CP049852.1_Escherichia_coli_strain_UPEC-774U_190308_chromosome__complete_genome|start=2354492|end=2359635|strand=-1	NZ_CP049852.1	CFPICI	R1	004	NZ_CP049852.1_Escherichia_coli_strain_UPEC-774U_190308_chromosome__complete_genome	5144	5144	1.0	97.913	CP028126.1_2294845_2309731	5144	1.0	98.251	10	10
NZ_CP058897.1|CFPICI|R1|core|batch=004|record=NZ_CP058897.1_Escherichia_coli_strain_MS10858_chromosome__complete_genome|start=1677051|end=1682194|strand=-1	NZ_CP058897.1	CFPICI	R1	004	NZ_CP058897.1_Escherichia_coli_strain_MS10858_chromosome__complete_genome	5144	5144	1.0	97.913	CP028126.1_2294845_2309731	5144	1.0	98.251	10	10
NZ_CP059332.1|CFPICI|R1|core|batch=004|record=NZ_CP059332.1_Escherichia_coli_strain_MS10860_chromosome__complete_genome|start=1749430|end=1754573|strand=-1	NZ_CP059332.1	CFPICI	R1	004	NZ_CP059332.1_Escherichia_coli_strain_MS10860_chromosome__complete_genome	5144	5144	1.0	97.913	CP028126.1_2294845_2309731	5144	1.0	98.251	10	10
NZ_CP059339.1|CFPICI|R1|core|batch=004|record=NZ_CP059339.1_Escherichia_coli_strain_MS8320_chromosome__complete_genome|start=1677191|end=1682334|strand=-1	NZ_CP059339.1	CFPICI	R1	004	NZ_CP059339.1_Escherichia_coli_strain_MS8320_chromosome__complete_genome	5144	5144	1.0	97.913	CP028126.1_2294845_2309731	5144	1.0	98.251	10	10
NZ_CP073984.1|CFPICI|R1|core|batch=004|record=NZ_CP073984.1_Escherichia_coli_strain_MB15_chromosome__complete_genome|start=1943969|end=1950935|strand=1	NZ_CP073984.1	CFPICI	R1	004	NZ_CP073984.1_Escherichia_coli_strain_MB15_chromosome__complete_genome	6967	83	0.0119	95.092	CP000970.1_955625_970780	83	0.0119	95.181	2	2
NZ_CP073984.1|CFPICI|R2|core|batch=004|record=NZ_CP073984.1_Escherichia_coli_strain_MB15_chromosome__complete_genome|start=3751212|end=3758178|strand=-1	NZ_CP073984.1	CFPICI	R2	004	NZ_CP073984.1_Escherichia_coli_strain_MB15_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP074019.1|CFPICI|R1|core|batch=004|record=NZ_CP074019.1_Escherichia_coli_strain_PM22_chromosome__complete_genome|start=3116545|end=3123511|strand=-1	NZ_CP074019.1	CFPICI	R1	004	NZ_CP074019.1_Escherichia_coli_strain_PM22_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP075852.1|CFPICI|R2|core|batch=004|record=NZ_CP075852.1_Escherichia_coli_strain_S19-651_chromosome__complete_genome|start=574416|end=581352|strand=-1	NZ_CP075852.1	CFPICI	R2	004	NZ_CP075852.1_Escherichia_coli_strain_S19-651_chromosome__complete_genome	6937	83	0.012	93.865	CP000970.1_955625_970780	83	0.012	93.976	2	2
NZ_CP078137.1|CFPICI|R1|core|batch=004|record=NZ_CP078137.1_Escherichia_coli_strain_Sx181-0-1_chromosome__complete_genome|start=3111821|end=3118788|strand=-1	NZ_CP078137.1	CFPICI	R1	004	NZ_CP078137.1_Escherichia_coli_strain_Sx181-0-1_chromosome__complete_genome	6968	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP097213.1|CFPICI|R1|core|batch=004|record=NZ_CP097213.1_Escherichia_coli_strain_BE311_chromosome__complete_genome|start=3748164|end=3755130|strand=-1	NZ_CP097213.1	CFPICI	R1	004	NZ_CP097213.1_Escherichia_coli_strain_BE311_chromosome__complete_genome	6967	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CP098910.1|CFPICI|R2|core|batch=004|record=NZ_CP098910.1_Escherichia_coli_strain_CUVET19-970_chromosome__complete_genome|start=4467644|end=4474362|strand=-1	NZ_CP098910.1	CFPICI	R2	004	NZ_CP098910.1_Escherichia_coli_strain_CUVET19-970_chromosome__complete_genome	6719	83	0.0124	93.865	CP000970.1_955625_970780	83	0.0124	93.976	2	2
NZ_CP098910.1|CFPICI|R3|core|batch=004|record=NZ_CP098910.1_Escherichia_coli_strain_CUVET19-970_chromosome__complete_genome|start=4878445|end=4885332|strand=-1	NZ_CP098910.1	CFPICI	R3	004	NZ_CP098910.1_Escherichia_coli_strain_CUVET19-970_chromosome__complete_genome	6888	193	0.028	89.051	CU928164.2_2060161_2074688	110	0.016	80.18	3	3
NZ_CP101274.1|CFPICI|R1|core|batch=004|record=NZ_CP101274.1_Escherichia_coli_strain_EC21Z-014_chromosome__complete_genome|start=859341|end=866307|strand=1	NZ_CP101274.1	CFPICI	R1	004	NZ_CP101274.1_Escherichia_coli_strain_EC21Z-014_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP101858.1|CFPICI|R1|core|batch=004|record=NZ_CP101858.1_Escherichia_coli_strain_LP50-1_chromosome__complete_genome|start=1379375|end=1386341|strand=-1	NZ_CP101858.1	CFPICI	R1	004	NZ_CP101858.1_Escherichia_coli_strain_LP50-1_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP101858.1|CFPICI|R2|core|batch=004|record=NZ_CP101858.1_Escherichia_coli_strain_LP50-1_chromosome__complete_genome|start=3834166|end=3840884|strand=1	NZ_CP101858.1	CFPICI	R2	004	NZ_CP101858.1_Escherichia_coli_strain_LP50-1_chromosome__complete_genome	6719	83	0.0124	93.865	CP000970.1_955625_970780	83	0.0124	93.976	2	2
NZ_CP145099.1|CFPICI|R1|core|batch=004|record=NZ_CP145099.1_Escherichia_coli_strain_PS_131_S11_chromosome__complete_genome|start=4746078|end=4753043|strand=-1	NZ_CP145099.1	CFPICI	R1	004	NZ_CP145099.1_Escherichia_coli_strain_PS_131_S11_chromosome__complete_genome	6966	83	0.0119	92.638	CP000970.1_955625_970780	83	0.0119	92.771	2	2
NZ_CP148357.1|CFPICI|R1|core|batch=004|record=NZ_CP148357.1_Escherichia_coli_strain_Z1323HEC0393_chromosome__complete_genome|start=368091|end=373234|strand=1	NZ_CP148357.1	CFPICI	R1	004	NZ_CP148357.1_Escherichia_coli_strain_Z1323HEC0393_chromosome__complete_genome	5144	5144	1.0	96.803	CP028126.1_2294845_2309731	5144	1.0	97.765	10	10
NZ_CP148357.1|CFPICI|R2|core|batch=004|record=NZ_CP148357.1_Escherichia_coli_strain_Z1323HEC0393_chromosome__complete_genome|start=839155|end=844284|strand=-1	NZ_CP148357.1	CFPICI	R2	004	NZ_CP148357.1_Escherichia_coli_strain_Z1323HEC0393_chromosome__complete_genome	5130	5130	1.0	97.389	CP028126.1_2294845_2309731	5130	1.0	98.519	10	10
NZ_CP148357.1|CFPICI|R8|core|batch=004|record=NZ_CP148357.1_Escherichia_coli_strain_Z1323HEC0393_chromosome__complete_genome|start=2867951|end=2872752|strand=-1	NZ_CP148357.1	CFPICI	R8	004	NZ_CP148357.1_Escherichia_coli_strain_Z1323HEC0393_chromosome__complete_genome	4802	4802	1.0	88.178	BFLF01000001.1_341769_355219	4802	1.0	96.397	10	17
NZ_CP148378.1|CFPICI|R1|core|batch=004|record=NZ_CP148378.1_Escherichia_coli_strain_Z1323HEC0067_chromosome__complete_genome|start=36585|end=43551|strand=-1	NZ_CP148378.1	CFPICI	R1	004	NZ_CP148378.1_Escherichia_coli_strain_Z1323HEC0067_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP148378.1|CFPICI|R2|core|batch=004|record=NZ_CP148378.1_Escherichia_coli_strain_Z1323HEC0067_chromosome__complete_genome|start=1640276|end=1645077|strand=1	NZ_CP148378.1	CFPICI	R2	004	NZ_CP148378.1_Escherichia_coli_strain_Z1323HEC0067_chromosome__complete_genome	4802	4802	1.0	87.705	BFLF01000001.1_341769_355219	4802	1.0	95.44	10	17
NZ_CP150075.1|CFPICI|R2|core|batch=004|record=NZ_CP150075.1_Escherichia_coli_strain_ECSD228_chromosome__complete_genome|start=4641658|end=4648384|strand=-1	NZ_CP150075.1	CFPICI	R2	004	NZ_CP150075.1_Escherichia_coli_strain_ECSD228_chromosome__complete_genome	6727	83	0.0123	95.092	CP000970.1_955625_970780	83	0.0123	95.181	2	2
NZ_CP151030.1|CFPICI|R1|core|batch=005|record=NZ_CP151030.1_Escherichia_coli_strain_19KM1863_chromosome__complete_genome|start=3698201|end=3705144|strand=-1	NZ_CP151030.1	CFPICI	R1	005	NZ_CP151030.1_Escherichia_coli_strain_19KM1863_chromosome__complete_genome	6944	193	0.0278	88.321	CU928164.2_2060161_2074688	110	0.0158	80.18	3	3
NZ_CP151045.1|CFPICI|R1|core|batch=005|record=NZ_CP151045.1_Escherichia_coli_strain_20KM0223N_chromosome__complete_genome|start=205025|end=211999|strand=1	NZ_CP151045.1	CFPICI	R1	005	NZ_CP151045.1_Escherichia_coli_strain_20KM0223N_chromosome__complete_genome	6975	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP151045.1|CFPICI|R2|core|batch=005|record=NZ_CP151045.1_Escherichia_coli_strain_20KM0223N_chromosome__complete_genome|start=1896608|end=1903574|strand=1	NZ_CP151045.1	CFPICI	R2	005	NZ_CP151045.1_Escherichia_coli_strain_20KM0223N_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP155528.1|CFPICI|R1|core|batch=005|record=NZ_CP155528.1_Escherichia_coli_strain_3-72_chromosome__complete_genome|start=1670977|end=1677943|strand=1	NZ_CP155528.1	CFPICI	R1	005	NZ_CP155528.1_Escherichia_coli_strain_3-72_chromosome__complete_genome	6967	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP158429.1|CFPICI|R1|core|batch=005|record=NZ_CP158429.1_Escherichia_coli_strain_CDF6_chromosome__complete_genome|start=2840992|end=2847957|strand=-1	NZ_CP158429.1	CFPICI	R1	005	NZ_CP158429.1_Escherichia_coli_strain_CDF6_chromosome__complete_genome	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
NZ_CP162163.1|CFPICI|R1|core|batch=005|record=NZ_CP162163.1_Escherichia_coli_strain_STS63-1-E_chromosome__complete_genome|start=2035488|end=2042453|strand=-1	NZ_CP162163.1	CFPICI	R1	005	NZ_CP162163.1_Escherichia_coli_strain_STS63-1-E_chromosome__complete_genome	6966	83	0.0119	93.865	CP000970.1_955625_970780	83	0.0119	93.976	2	2
